epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1809.02,1.15327,0.60805,1.04874,0.61131,0.62205,0.64371,0.43004,1.20932,0.55415,1.09897,0.000594321,0.000594321,0.000594321
61,1839.04,1.14418,0.60774,1.04711,0.62593,0.60434,0.64653,0.4308,1.20751,0.54973,1.0976,0.000580174,0.000580174,0.000580174
62,1869.52,1.1478,0.60025,1.04505,0.71395,0.61279,0.6465,0.43229,1.20518,0.54791,1.09763,0.000566027,0.000566027,0.000566027
63,1899.02,1.15644,0.60282,1.04668,0.68339,0.60834,0.64686,0.43148,1.21046,0.54982,1.09709,0.00055188,0.00055188,0.00055188
64,1928.81,1.14355,0.60176,1.04245,0.83182,0.61469,0.64927,0.43326,1.21133,0.54456,1.09886,0.000537733,0.000537733,0.000537733
65,1960.03,1.14333,0.59919,1.04272,0.68861,0.61524,0.64634,0.43188,1.20646,0.54293,1.09673,0.000523586,0.000523586,0.000523586
66,1990.5,1.1312,0.58555,1.0382,0.62715,0.60542,0.64369,0.42881,1.21357,0.54749,1.09857,0.000509438,0.000509438,0.000509438
67,2021.03,1.13501,0.587,1.03735,0.62683,0.60774,0.64303,0.42834,1.21235,0.5494,1.10041,0.000495291,0.000495291,0.000495291
68,2051.42,1.13305,0.59082,1.03787,0.65233,0.60744,0.6454,0.43172,1.2077,0.54336,1.09669,0.000481144,0.000481144,0.000481144
69,2081.57,1.14257,0.59872,1.03959,0.63765,0.61467,0.64394,0.42918,1.21415,0.54712,1.09672,0.000466997,0.000466997,0.000466997
70,2112.54,1.12583,0.58264,1.0372,0.63543,0.61599,0.64573,0.43116,1.2085,0.54243,1.09642,0.00045285,0.00045285,0.00045285
71,2142.17,1.13534,0.58307,1.03623,0.63542,0.62101,0.64614,0.43331,1.20485,0.539,1.09258,0.000438703,0.000438703,0.000438703
72,2172.61,1.12167,0.5772,1.02867,0.62261,0.61109,0.64469,0.43222,1.20266,0.5397,1.09343,0.000424556,0.000424556,0.000424556
